Sample in Buffer,Sample in Window,TRIGGER,BRAM_SPI_i/receiver_0/inst/data_in_to_device[31:0]
899,899,0,077ff986
900,900,0,fffff980
901,901,0,7ff8877f
902,902,0,077ff887
903,903,0,fffff880
904,904,0,7ff8877f
905,905,0,077ff887
906,906,0,fffff880
907,907,0,7ff8877f
908,908,0,077ff887
909,909,0,fffff880
910,910,0,7ff8877f
911,911,0,077ff986
912,912,0,fffff880
913,913,0,7ff8877f
914,914,0,067ff986
915,915,0,fffffb80
916,916,0,877ff847
917,917,0,80077ff8
918,918,0,47fffffb
919,919,0,f8877ff8
920,920,0,f980067f
921,921,0,867fffff
922,922,0,f9867ff9
923,923,0,f980067f
924,924,0,867fffff
925,925,0,f9867ff9
926,926,0,f980067f
927,927,0,867fffff
928,928,0,f9867ff9
929,929,0,f980067f
930,930,0,877fffff
931,931,0,f8877ff9
932,932,0,f880077f
933,933,0,877fffff
934,934,0,f8877ff8
935,935,0,f880077f
936,936,0,877fffff
937,937,0,f8877ff8
938,938,0,f880077f
939,939,0,877fffff
940,940,0,f8877ff8
941,941,0,f880077f
942,942,0,877fffff
943,943,0,f8877ff8
944,944,0,f880077f
945,945,0,877fffff
946,946,0,f8877ff8
947,947,0,f980067f
948,948,0,877fffff
949,949,0,fb877ff8
950,950,0,ff800077
951,951,0,867fffff
952,952,0,f8867ff9
953,953,0,f880077f
954,954,0,877fffff
955,955,0,f8877ff8
956,956,0,f880077f
957,957,0,877fffff
958,958,0,f8877ff8
959,959,0,f880077f
960,960,0,877fffff
961,961,0,f8877ff8
962,962,0,f880077f
963,963,0,877fffff
964,964,0,f9867ff8
965,965,0,f880077f
966,966,0,877fffff
967,967,0,f8877ff8
968,968,0,f880077f
969,969,0,877fffff
970,970,0,f8877ff8
971,971,0,f980067f
972,972,0,877fffff
973,973,0,f8877ff8
974,974,0,f880077f
975,975,0,877fffff
976,976,0,ff8877f9
977,977,0,fff80047
978,978,0,f8877fff
979,979,0,67ff887f
980,980,0,fffff800
981,981,0,7ff8877f
982,982,0,067ff986
983,983,0,fffff980
984,984,0,7ff9867f
